"c_city","c_country","ipc_class_symbol","name_0","name_1","city","coordinates","lng","lat","filing_date"
1,1,"A01G  23/00","Ireland","Dublin","Dublin","0101000020E6100000C2120F289BB218C0B6847CD0B3B94A40",-6.17442,53.4508,"2008-06-13"
1,1,"A01N  25/02","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  25/02","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  25/02","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  25/02","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  25/02","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
1,1,"A01N  25/02","Germany","Niedersachsen","Walsrode","0101000020E610000056F146E6913F2340A7E8482EFF694A40",9.62416,52.8281,"2008-05-30"
1,1,"A01N  25/10","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  25/10","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  25/10","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  25/10","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  25/10","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
4,4,"A01N  25/24","Brazil","São Paulo","Itaim Bibi","0101000020E6100000F31FD26F5F5747C02DB29DEFA79637C0",-46.6826,-23.5885,"2008-06-26"
1,1,"A01N  25/34","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  25/34","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  25/34","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  25/34","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  25/34","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
1,1,"A01N  29/00","Germany","Niedersachsen","Walsrode","0101000020E610000056F146E6913F2340A7E8482EFF694A40",9.62416,52.8281,"2008-05-30"
1,1,"A01N  37/12","Germany","Niedersachsen","Walsrode","0101000020E610000056F146E6913F2340A7E8482EFF694A40",9.62416,52.8281,"2008-05-30"
2,2,"A01N  37/18","Canada","Ontario","Toronto","0101000020E6100000304CA60A46D953C04BC8073D9BD54540",-79.3949,43.6688,"2008-01-09"
1,1,"A01N  37/18","United States","Massachusetts","Suffolk","0101000020E61000003FC6DCB584C451C05E4BC8073D2B4540",-71.0706,42.3378,"2008-01-09"
1,1,"A01N  37/18","United States","New York","New York","0101000020E6100000B1506B9A777C52C0CFF753E3A56B4440",-73.9448,40.841,"2008-01-09"
5,5,"A01N  43/16","United States","New Jersey","Union","0101000020E6100000A857CA32C49152C0AEB6627FD94D4440",-74.2776,40.6082,"2008-01-09"
1,1,"A01N  43/52","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  43/52","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  43/52","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  43/52","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  43/52","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
4,4,"A01N  43/54","Brazil","São Paulo","Itaim Bibi","0101000020E6100000F31FD26F5F5747C02DB29DEFA79637C0",-46.6826,-23.5885,"2008-06-26"
1,1,"A01N  43/56","Germany","Hessen","Eschborn","0101000020E610000051F701486D2221408AB0E1E995124940",8.56724,50.1452,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Frankfurt am Main","0101000020E6100000BF0E9C33A264214064CC5D4BC80F4940",8.69655,50.1233,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Frankfurt am Main","0101000020E610000057CF49EF1B5F2140B22E6EA3010C4940",8.68576,50.0938,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Frankfurt am Main","0101000020E61000006D904946CE5221403333333333134940",8.66173,50.15,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Hofheim am Taunus","0101000020E6100000A20BEA5BE6E42040C3F5285C8F0A4940",8.44707,50.0825,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Hofheim am Taunus","0101000020E6100000268DD13AAADA2040645DDC4603084940",8.42708,50.0626,"2008-06-17"
1,1,"A01N  43/56","Germany","Hessen","Sulzbach (Taunus)","0101000020E61000000BB5A679C7092140F0164850FC104940",8.5191,50.1327,"2008-06-17"
1,1,"A01N  43/56","Germany","Nordrhein-Westfalen","Leverkusen","0101000020E61000001CB62DCA6C301C40F7E461A1D6844940",7.04729,51.0378,"2008-06-17"
1,1,"A01N  43/78","Israel","Haifa","Haifa","0101000020E610000088855AD3BC9341405EBA490C02434040",35.1542,32.5235,"2008-01-08"
1,1,"A01N  43/78","United States","Pennsylvania","Chester","0101000020E6100000986E1283C0E652C034A2B437F8FA4340",-75.6055,39.9607,"2008-01-08"
1,1,"A01N  43/80","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  43/80","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  43/80","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  43/80","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  43/80","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
1,1,"A01N  53/00","Germany","Niedersachsen","Walsrode","0101000020E610000056F146E6913F2340A7E8482EFF694A40",9.62416,52.8281,"2008-05-30"
1,1,"A01N  55/02","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  55/02","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  55/02","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  55/02","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  55/02","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
4,4,"A01N  57/20","Brazil","São Paulo","Itaim Bibi","0101000020E6100000F31FD26F5F5747C02DB29DEFA79637C0",-46.6826,-23.5885,"2008-06-26"
1,1,"A01N  59/16","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  59/16","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  59/16","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  59/16","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  59/16","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
1,1,"A01N  59/20","Germany","Baden-Württemberg","Esslingen am Neckar","0101000020E610000095607138F39B224013F241CF665D4840",9.30459,48.7297,"2008-01-11"
1,1,"A01N  59/20","Germany","Baden-Württemberg","Heidenheim an der Brenz","0101000020E61000001CEBE2361A4024401D38674469574840",10.1252,48.6829,"2008-01-11"
1,1,"A01N  59/20","Germany","Baden-Württemberg","Kornwestheim","0101000020E61000004FCC7A3194632240CA54C1A8A46E4840",9.19449,48.8644,"2008-01-11"
1,1,"A01N  59/20","Germany","Baden-Württemberg","Markgröningen","0101000020E6100000884677103B23224032E6AE25E4734840",9.06881,48.9054,"2008-01-11"
1,1,"A01N  59/20","Germany","Baden-Württemberg","Oppenweiler","0101000020E6100000CF143AAFB1EB224014AE47E17A7C4840",9.46034,48.9725,"2008-01-11"
1,1,"E02D   3/00","France","Île-de-France","Orsay","0101000020E6100000764F1E166A8D0140C3D32B65195A4840",2.19405,48.7039,"2008-03-04"
1,1,"E02D   3/00","France","Île-de-France","Paris","0101000020E610000023DBF97E6A3C034057EC2FBB276F4840",2.4045,48.8684,"2008-03-04"
