"c_city","c_country","ipc_class_symbol","name_0","name_1","city","coordinates","lng","lat","filing_date"
1,1,"A01G  23/00","Austria","Kärnten","Preitenegg","0101000020E61000005F984C158CEA2D40E4839ECDAA774740",14.9581,46.9349,"2008-03-18"
1,1,"A01G  23/00","Austria","Kärnten","Preitenegg","0101000020E61000005F984C158CEA2D40E4839ECDAA774740",14.9581,46.9349,"2008-06-02"
1,1,"A01G  23/00","Canada","Alberta","Hines Creek","0101000020E61000005839B4C876A65DC0E4839ECDAA1F4C40",-118.601,56.2474,"2008-10-31"
1,1,"A01G  23/00","Canada","Québec","Montréal","0101000020E6100000780B24287E6452C094F6065F98C44640",-73.5702,45.5359,"2008-09-25"
1,1,"A01G  23/00","Canada","Québec","Mont-Saint-Hilaire","0101000020E61000005839B4C8764A52C0C66D3480B7C84640",-73.1635,45.5681,"2008-09-25"
1,1,"A01G  23/00","Canada","Québec","Mont-Saint-Hilaire","0101000020E6100000E4839ECDAA4B52C0F2B0506B9AC74640",-73.1823,45.5594,"2008-09-25"
1,1,"A01G  23/00","Canada","Québec","Québec","0101000020E610000033C4B12E6ED351C0508D976E126B4740",-71.3036,46.8365,"2008-09-25"
1,1,"A01G  23/00","China","Anhui","Wuhu","0101000020E610000017D9CEF7539B5D409B559FABAD583F40",118.427,31.3464,"2008-06-01"
1,1,"A01G  23/00","China","Anhui","Wuhu","0101000020E610000083C0CAA145965D40F697DD9387453F40",118.348,31.2716,"2008-08-29"
1,1,"A01G  23/00","China","Beijing","Beijing","0101000020E61000006666666666165D40F0164850FC004440",116.35,40.0077,"2008-10-28"
2,2,"A01G  23/00","China","Beijing","Beijing","0101000020E6100000F6285C8FC2155D40029A081B9EFE4340",116.34,39.9892,"2008-12-18"
1,1,"A01G  23/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-01-21"
1,1,"A01G  23/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-07-25"
3,3,"A01G  23/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-12-18"
1,1,"A01G  23/00","China","Beijing","Beijing","0101000020E61000006666666666165D407F6ABC7493004440",116.35,40.0045,"2008-12-25"
